start_index,observed_variability,RMSE_Physics-Compact,RMSE_DLinear,RMSE_TimeMixer,RMSE_iTransformer,RMSE_PatchTST,mean_modern_RMSE,PhysicsCompact_skill_fraction,eligible,selected
0,1.4566568766276045,1.3030252905275796,1.3068462402581669,1.3172586785973763,1.3218141826599945,1.3307127862943289,1.3191579719524666,0.012229529569539915,0,0
1,1.4569534314003505,1.3027640228535657,1.3063716953122277,1.3167301992128941,1.3214634601268551,1.3306180485837384,1.3187958508089288,0.01215641370537327,0,0
2,1.4580129189024038,1.3026212368351158,1.3059782076760604,1.3162183749725174,1.3211347439085273,1.3306456202636374,1.3184942367051857,0.012038732842500205,0,0
3,1.4582106204312846,1.3020469522766505,1.305724228671964,1.3157542829115176,1.320395561977423,1.3300064655546548,1.3179701347788897,0.012081595843528425,0,0
4,1.457947893604811,1.300989924154856,1.3046300305171297,1.3144974809025405,1.3189797699041128,1.3288258381292326,1.3167332798632538,0.011956374118555657,0,0
5,1.4579661047516044,1.3000855031753542,1.3037242999633314,1.313595410044125,1.3177744503895135,1.3278792045801933,1.3157433412442907,0.011900374167296926,0,0
6,1.4593784405943608,1.3000358994096683,1.3037267763025533,1.3133977014592708,1.3175262503159404,1.3276498032591213,1.3155751328342216,0.011811741524086214,0,0
7,1.4610272253392258,1.2999859010703643,1.3037075814279604,1.313314447781376,1.3173198182987207,1.3274970470425018,1.3154597236376397,0.011763053090280655,0,0
8,1.460622420706768,1.2994522412207754,1.3033115766967407,1.3129486242398047,1.316255706060309,1.3270230903523261,1.314884749337295,0.0117367762644579,0,0
9,1.4602162985820641,1.298750846150847,1.3023942526216736,1.3115403215046728,1.3150765048478785,1.326397103493021,1.3138520456168115,0.011493835638757112,0,0
10,1.4615788670918746,1.2983639570084446,1.3019365678600205,1.3113761911489563,1.314954584690025,1.3261364984927795,1.3136009605479453,0.011599415649897814,0,0
11,1.4559782646754251,1.2902283256205136,1.2935270738343214,1.3031930932126574,1.3076934522313193,1.3188740591614927,1.3058219196099476,0.011941593072730697,0,0
12,1.4544351870379526,1.2835685338603264,1.2867398731388422,1.296532339191601,1.3021660101905204,1.3133080722473325,1.299686573692074,0.012401482140390467,0,0
13,1.454233966974362,1.279739435579554,1.2834864845098537,1.2933974227204672,1.299444173816096,1.3103221034162023,1.2966625461156547,0.013051283533095353,0,0
14,1.453160416428356,1.2753500705872358,1.2798419411710045,1.289353226059539,1.2962664124784273,1.3068971686549096,1.2930896870909703,0.013718782757940638,0,0
15,1.4529793462739853,1.2715360119347758,1.2765341355529753,1.2872326973592318,1.2926693972608636,1.3038926922228702,1.2900822305989852,0.014375997300263834,0,0
16,1.45458672034719,1.2684357141138225,1.274144157395471,1.2851790040054856,1.2906106495172978,1.3017196653304812,1.287913369062184,0.01512342011213417,0,0
17,1.4558896445988923,1.2658422416422437,1.2720097902123322,1.28324215268014,1.288871200482062,1.2994607803954104,1.2858959809424861,0.015595148905858034,0,0
18,1.4572204605508012,1.262845676631916,1.269317899370822,1.2805098497509104,1.2863945958094076,1.296240809355475,1.2831157885716538,0.015797570352011733,0,0
19,1.456611656429274,1.2534778525886554,1.260070805777846,1.2717489134186053,1.278401338495804,1.2866045428369006,1.274206400132289,0.01626780994153033,0,0
20,1.4549271374068382,1.2463365776881794,1.2531760863314805,1.2652886390027744,1.2718904107590574,1.279462380075693,1.2674543790422512,0.01666158695986315,0,0
21,1.4537368265434052,1.2385480058709153,1.2451108077209136,1.2558785789620504,1.2624024962290388,1.2682913609958237,1.2579208109769566,0.015400655539672297,0,0
22,1.4529316236693697,1.2316206432017027,1.2372102143972967,1.2470300523878541,1.2529413553411177,1.2578124345879809,1.2487485141785624,0.013716029114258047,0,0
23,1.4515047238661396,1.2257397391776241,1.230128267754938,1.2398177628545053,1.2448171908693384,1.2494501041489288,1.2410533314069276,0.012339189494736025,0,0
24,1.4518018660896166,1.2241571486878546,1.2272031466758055,1.236567737085775,1.2408142253996022,1.2457546970865452,1.237584951561932,0.010850004969057138,0,0
25,1.4511303388213284,1.2195808544478526,1.2199449360795085,1.2295810646647447,1.2335123566482948,1.2384350413457317,1.23036834968457,0.008767695657550935,0,0
26,1.4497213385594145,1.2148675160261855,1.212638776887281,1.2218499470857007,1.2259712521404944,1.2310575395951038,1.222879378927145,0.006551637912145123,0,0
27,1.4491985380859842,1.2131115335038256,1.2089696024429606,1.2182208586040315,1.2223562006394295,1.227366658601328,1.2192283300719375,0.005016940975896631,0,0
28,1.4481712487060983,1.2114781249310052,1.2062222545829737,1.2150251722718117,1.2201051867614714,1.224090212171163,1.216360706446855,0.004014090137877269,0,0
29,1.4467116340328585,1.2061623104926544,1.2017176978075037,1.2040682613821099,1.213416290223391,1.2096744448200496,1.2072191735582636,0.00087545251828138,0,0
30,1.4429789345357327,1.1943360820549336,1.1914443041295575,1.1895085051983922,1.2008286080685542,1.1949838858472792,1.1941913258109458,-0.00012121696151954352,0,0
31,1.4407694403154996,1.1860935795860843,1.184939568599375,1.1804445688340273,1.1934137768313815,1.1875639405652223,1.1865904637075015,0.00041874946463392774,0,0
32,1.4380676887490051,1.1773320505688862,1.1776042236453061,1.170610185808543,1.1853145730429928,1.1801883820281347,1.178429341131244,0.0009311466746954054,0,0
33,1.436560222712742,1.17073570691968,1.172172989315125,1.1631843601809826,1.179361825159425,1.1745687323799625,1.1723219767588737,0.0013531008295001978,0,0
34,1.4336636421430027,1.1654613089353856,1.1680458465367023,1.1570105120807557,1.1747870978051405,1.1711903068836287,1.1677584408265569,0.0019671293401616234,0,0
35,1.429714306511903,1.156787511079461,1.1605019147978044,1.147493117409515,1.1678799528981487,1.1646127795229158,1.160121941157096,0.0028742065461750304,0,0
36,1.4297834490825767,1.1590817229116837,1.1636086484368453,1.1486013626333844,1.1706574281690425,1.167407700962745,1.1625687850505044,0.00299944586820236,0,0
37,1.4286714453558498,1.1569006033616056,1.1619531295375483,1.1461506823025356,1.1695019245639595,1.1666113895027188,1.1610542814766907,0.003577505532129107,0,0
38,1.4238010953122107,1.1496067705466833,1.1547938587787627,1.1385786136083118,1.164335076305912,1.1612363731120787,1.1547359804512662,0.004441889740526239,0,0
39,1.4229476563314258,1.1513191173107375,1.1564533139295992,1.1403707910372356,1.1671434578247717,1.1635778332187532,1.15688634900259,0.004812254632144515,0,0
40,1.4204190519004,1.1526081106535881,1.1581442767984065,1.1417210454173223,1.1694708039428592,1.1655137518932706,1.1587124695129645,0.005268225741923825,0,0
41,1.4162443905757496,1.1532136970396996,1.1589620132343432,1.142939719466172,1.171393704067336,1.1664604565076344,1.1599389733188714,0.005797956990727866,0,0
42,1.4149122222892676,1.1528955804530443,1.1589516440618335,1.1424078418631276,1.1709068346535776,1.1659330843863545,1.1595498512412235,0.005738667277699344,0,0
43,1.4137355951627462,1.1529013815831768,1.158786045164755,1.1423914052807893,1.1709622157757633,1.165979309752581,1.1595297439934722,0.005716422924578917,0,0
44,1.4123932057612418,1.1531833169254528,1.159082267679532,1.1428418049590874,1.171435797709311,1.166292708037465,1.1599131445963486,0.0058020100058765985,0,0
45,1.4089767881435682,1.153716728039951,1.1595862364057579,1.1435284890305162,1.1720722881695096,1.1668197879736146,1.1605017003948497,0.005846585448853888,0,0
46,1.4063798885259353,1.1540589510179506,1.1595436946962412,1.1439119591221907,1.1725103166578807,1.1668482884702338,1.1607035647366366,0.005724643156578594,0,0
47,1.4020135440830475,1.152984207311154,1.1574830817302442,1.1431683332167455,1.1718326531361958,1.1655865288539438,1.1595176492342825,0.005634620505727501,0,0
48,1.4002841141377718,1.1526602454425061,1.1570734786445611,1.142965425917368,1.1719661646017607,1.1658147401652048,1.1594549523322237,0.005860259491798436,0,0
49,1.39817995691039,1.150777263018239,1.1549499347978012,1.1413351721959066,1.1708197916270542,1.1642349799580438,1.1578349696447015,0.0060956067241848,0,0
50,1.3968384180320292,1.1499649655848154,1.1538760897524418,1.1407246096426502,1.1705552692472658,1.163530447938848,1.1571716041453013,0.006227804531903256,0,0
51,1.395624103038519,1.1515432087686124,1.154854837148528,1.1420182836424966,1.1719284908866145,1.1645108811363094,1.1583281232034872,0.0058575064344551925,0,0
52,1.394413653147685,1.1539649626725712,1.1569394032657871,1.14410799663177,1.1740204020124339,1.1662890248810014,1.160339206697748,0.005493431565858685,0,0
53,1.3947606076624603,1.1600714087135953,1.1625199941194604,1.1492040720178538,1.1790660344407615,1.1714037636909729,1.1655484660672621,0.004699124500714505,0,0
54,1.3915420609906053,1.1619281978554303,1.16407353823687,1.1505940985376837,1.1802917990555026,1.1721849553864734,1.1667860978041324,0.004163488027363871,0,0
55,1.389346971164986,1.1627351938415875,1.164714054522391,1.1513664292548647,1.1809666917660289,1.1729087330310386,1.1674889771435808,0.0040718014431485655,0,0
56,1.388219591263229,1.1644471086261265,1.1665694434724545,1.1532993813650882,1.1825212893433634,1.1744414577206779,1.169207892975396,0.004071803122329411,0,0
57,1.387814575838007,1.1670427622615704,1.1691029365674666,1.1561551737443485,1.1851216613075986,1.1768303164954088,1.1718025220287056,0.004061912888610905,0,0
58,1.384376723106835,1.1674112179687823,1.1700466606873483,1.1569144409704848,1.1850231197689491,1.1771948105141026,1.1722947579852212,0.004165795319968866,0,0
59,1.380116354945058,1.1670276028311204,1.169827668861713,1.1567059341606585,1.1844348771138655,1.1767595829005701,1.171932015759202,0.004184895422371702,0,0
60,1.3782911064986458,1.1673035021224816,1.1697512600999092,1.1567255975099817,1.1845042345998877,1.176621941729759,1.1719007584848844,0.003922905868195255,0,0
61,1.380566157200479,1.1692979739802878,1.1712292916283875,1.1580990420004578,1.1859323363091459,1.177789615448098,1.1732625713465223,0.0033791219996769295,0,0
62,1.38126053311916,1.170496033986672,1.1714633274529636,1.15881582612718,1.1864881554726234,1.1778752512300463,1.1736606400707033,0.0026963552972524584,0,0
63,1.3809167350761398,1.1702938648347525,1.170664096035426,1.1581073381739135,1.1860714630817424,1.1769705279862572,1.1729533563193346,0.002267346327331765,0,0
64,1.3785799983478797,1.1703399387303282,1.170374131438632,1.158023054242803,1.18596338969629,1.1767002659328838,1.1727652103276522,0.0020679941525947065,0,0
65,1.3776026007247781,1.1702443827401527,1.1702923600899462,1.157630783243824,1.1856068248243183,1.1762535092677275,1.172445869356454,0.0018776872125529597,0,0
66,1.3753067968561838,1.1699082775351528,1.1696746008684564,1.1569898730464327,1.1849079358632588,1.1755131362306375,1.1717713865021964,0.0015899935674355762,0,0
