start_index,variability,rmse_Physics-Compact,rmse_LSTM,rmse_GRU,rmse_CNN-LSTM,mean_comparator_rmse,physics_skill_fraction,eligible,selected
0,1.1764606761661376,1.4750474732033472,1.4748397017854924,1.4899122299297247,1.4150656293944497,1.4599391870365555,-0.010348572256258933,0,0
1,1.173023358231624,1.474252441885579,1.474303340393271,1.4890011001228844,1.4129053727762442,1.4587366044307999,-0.010636490102223298,0,0
2,1.172051420853102,1.4732149022647751,1.471650948068981,1.4871793099019857,1.4088063646031883,1.455878874191385,-0.011907603290842957,0,0
3,1.2309857303813372,1.5302555400007716,1.5187063682879802,1.5407415914749443,1.4554879955447537,1.5049786517692263,-0.016795512814637082,0,0
4,1.2694331783162225,1.57311485818193,1.5504602909773437,1.5793202579776082,1.4864139180210187,1.5387314889919903,-0.022345269097251028,0,0
5,1.2973716021180013,1.6077904562946534,1.5747817792098155,1.6104432712421546,1.509715674157861,1.5649802415366103,-0.027355115177690032,0,0
6,1.3323043433020256,1.6488806349413063,1.605953184846505,1.6468570181450153,1.5409535375691072,1.5979212468535424,-0.03189105106907349,0,0
7,1.3759672324867975,1.6939208758490019,1.6427053755023109,1.6877697718136682,1.5788452287577248,1.6364401253579013,-0.035125483420011545,0,0
8,1.3986263957466252,1.726500368139978,1.6659137675509663,1.715753646507612,1.601583737443253,1.6610837171672772,-0.039381910915518945,0,0
9,1.4128783019433107,1.743465923910847,1.6757834295624547,1.7284693173578203,1.6101477910234243,1.6714668459812332,-0.043075385014500124,0,0
10,1.4460352314619873,1.7771316649733586,1.7037696196345085,1.7591532088588164,1.6398073738876031,1.7009100674603095,-0.044812244322157704,1,0
11,1.4567454379311828,1.779300817004753,1.7038748049196588,1.7585311766331657,1.640840790565853,1.7010822573728923,-0.04598164450475163,1,0
12,1.4972139407371992,1.8067356260703193,1.7310810815832516,1.7842946002029019,1.6710468898098667,1.7288075238653402,-0.04507621648403301,1,0
13,1.5488899835628631,1.8208726520239604,1.756139405714881,1.8031218438619718,1.7063321015157753,1.7551977836975425,-0.03741736055982569,1,0
14,1.599009026197723,1.8309028458239556,1.7724797394081073,1.8117259473021776,1.732172085560764,1.7721259240903497,-0.033167463403469266,1,0
15,1.6195331579477774,1.8270669441269545,1.7720758475710896,1.805595661147723,1.7366166042055795,1.7714293709747972,-0.03140829324826003,1,0
16,1.6407212561931868,1.825044134805246,1.7742637854483239,1.8044025938808335,1.743936230249313,1.7742008698594904,-0.02865699471209374,1,0
17,1.6630135688558707,1.8229294481893363,1.7748509250076934,1.8022375118721006,1.7497772945830903,1.7756219104876283,-0.026642799022859688,1,0
18,1.686068947085362,1.826850099832938,1.777418631509182,1.8038520080056106,1.7584316615060207,1.7799007670069378,-0.02637750019342355,1,0
19,1.6882155315266496,1.8120001924080542,1.761071065499435,1.7863165963874887,1.7499448173924492,1.7657774930931243,-0.026176967084318953,1,0
20,1.6844502285767218,1.7992103502346728,1.746900375678096,1.7728743194500427,1.7397902937808074,1.7531883296363155,-0.026250471680874205,1,0
21,1.6822228979944454,1.7814417459188823,1.7305028607407518,1.755557165175158,1.7290656453504796,1.7383752237554628,-0.024774008266398077,1,0
22,1.682583070664979,1.7628845176245118,1.7124378204144288,1.7364824643328078,1.7172990201001428,1.722073101615793,-0.023699003236521174,1,0
23,1.677135573951127,1.7473559033927744,1.6920942080341577,1.7171860235861658,1.7015097812158,1.7035966709453747,-0.025686380581570637,1,0
24,1.6815527848221623,1.7437269948560785,1.6826189027140968,1.7094277672166749,1.695251988166539,1.69576621936577,-0.028282657681579552,1,0
25,1.6735462176268308,1.7345258672993864,1.6638871098224994,1.6925593543373614,1.6800952739004682,1.6788472460201096,-0.0331647929323344,1,0
26,1.665703247810628,1.7266729616133263,1.641531399391642,1.6742569332626998,1.6624879785306395,1.6594254370616603,-0.040524583418909695,1,0
27,1.6639431925444401,1.7319771401022126,1.63755638823717,1.673732013541465,1.6601197178976361,1.6571360398920902,-0.045162918679262976,1,0
28,1.6585998920508376,1.7342849451917135,1.6301093905566693,1.6718648088994112,1.6532766206369462,1.6517502733643423,-0.04996800857750832,1,0
29,1.666649444603266,1.7287317487333935,1.629903831182987,1.6697734631496022,1.6568387467903327,1.6521720137076408,-0.04633884026030981,1,0
30,1.6720424370726763,1.7076284694250325,1.6161232141477884,1.6524602978629124,1.6482628962441206,1.6389488027516073,-0.04190470535633572,1,0
31,1.6812230993493633,1.7004816023038316,1.6180238276804508,1.651258835547712,1.6521932640421788,1.6404919757567804,-0.03656807069682691,1,0
32,1.6947575258934697,1.7138930914884478,1.6406712383796822,1.6707753817520334,1.6733865204445637,1.66161104685876,-0.03146467082565801,1,0
33,1.7162668722770933,1.7343489487498438,1.6719856850771386,1.6985909436844053,1.7039112545643875,1.6914959611086438,-0.025334371837999102,1,0
34,1.7224772479554866,1.7330149751544457,1.6780381979977357,1.7027668701028618,1.7097923460539175,1.6968658047181717,-0.02130349396856276,1,0
35,1.7354936092610505,1.726612733587455,1.682447151439519,1.7024139347655933,1.716159800576269,1.7003402955937936,-0.015451282347270692,1,0
36,1.7454140960955902,1.738532765822202,1.6969006385138086,1.7160876877204625,1.7286831623707322,1.7138904962016677,-0.014377972032137825,1,0
37,1.7577086004262297,1.7405244335685714,1.7035815856070602,1.7218092286167592,1.7366023634469268,1.7206643925569154,-0.011542077059050398,1,0
38,1.7537357503776712,1.7198340207131468,1.68705228672076,1.7052373035641628,1.7211664109422726,1.7044853337423984,-0.009004880632823384,1,0
39,1.7661653203146868,1.727626244596048,1.697265570749583,1.7155748750297724,1.730780333374943,1.7145402597180996,-0.007632357889397059,1,0
40,1.7797327368984854,1.7455852341938893,1.7198198765817594,1.7381996999709708,1.7496666163488568,1.7358953976338622,-0.005582039432349991,1,0
41,1.7924401299292159,1.754487341557643,1.7341280288610808,1.7520965709087042,1.7627035274867275,1.749642709085504,-0.0027689267340022393,1,0
42,1.8011024085459788,1.7586454789014232,1.740933075365064,1.7569916912336057,1.7717137041555893,1.7565461569180865,-0.0011951419409439584,1,0
43,1.8122213239046085,1.7613697875755046,1.7458638721324071,1.7598826702353532,1.779015878847766,1.7615874737385087,0.00012357385951554422,1,0
44,1.824609501043209,1.7646964489934578,1.7516303545554288,1.7641916603666548,1.7878204878688457,1.767880834263643,0.001801244296825879,1,0
45,1.8301433555590922,1.7651893777992003,1.7536325760655136,1.7656246999392,1.7909575494359278,1.7700716084802137,0.0027582108303546805,1,0
46,1.839495191210365,1.7658992282137054,1.7559509965823286,1.7672737043192266,1.7946936893485679,1.7726394634167078,0.00380237230531401,1,0
47,1.840457177938078,1.7626288768676812,1.7547474407427066,1.7637612379919516,1.7937664284224708,1.7707583690523763,0.004590966405566425,1,0
48,1.8489667555555682,1.7633912020240274,1.7576709457338173,1.7655623642940375,1.7982562604064174,1.773829856811424,0.005884811751991052,1,0
49,1.8623334260905475,1.7622030012811052,1.760693598569131,1.7666262528392562,1.803083925419237,1.7768012589425413,0.00821603293444546,1,0
50,1.8688625384165907,1.7576797394990826,1.7593531894226757,1.7633838340250294,1.8037910264077486,1.775509349951818,0.010041969338668471,1,0
51,1.873014357300942,1.7588355654948458,1.7614642881247953,1.7646153920457712,1.8077034505967493,1.7779277102557718,0.010738425781203126,1,0
52,1.8811493830637267,1.7601374192765706,1.7636925079615986,1.7659450513243848,1.8108434332720507,1.780160330852678,0.011247813598068836,1,0
53,1.8885273694612918,1.76206763048192,1.765519648393855,1.7673860771773335,1.8133341986147982,1.7820799747286624,0.011229767760444882,1,0
54,1.894632520229437,1.7629855535625714,1.767703026955967,1.768616762044703,1.8163593613409057,1.7842263834471919,0.01190478410233035,1,0
55,1.9022567887966817,1.7648861953807062,1.7713982921481966,1.7714786716848254,1.8210997002467273,1.7879922213599164,0.012922889542347191,1,0
56,1.9032602194009602,1.7659637114547917,1.772220968780116,1.7723070150894875,1.82236202388819,1.7889633359192645,0.012856397894065482,1,0
57,1.9121089375311238,1.7718174033804137,1.7783967230995896,1.7785654878346648,1.8296062126247346,1.7955228078529963,0.013202508132396524,1,0
58,1.9211398262133177,1.7730296306462678,1.7833769810031492,1.7828704717098887,1.8364714811514473,1.8009063112881618,0.015479250901149983,1,0
59,1.931622790929963,1.776219680165223,1.7876298804356816,1.7866264390406357,1.8435160095427603,1.805924109673026,0.016448326565162933,1,0
60,1.9386757913380277,1.778264806472543,1.7880528405991973,1.7874000869808662,1.8464479699408272,1.8073002991736302,0.016065671385305125,1,0
61,1.9390480857766406,1.777849605729164,1.7848848581795842,1.7846999678776212,1.8448753750886395,1.804820067048615,0.014943573496251769,1,0
62,1.9374563512849037,1.776036375743725,1.7795151506015159,1.779670812693711,1.8412596825444882,1.8001485486132385,0.013394546182362865,1,0
63,1.9393522807021601,1.7767445917689677,1.777065287418136,1.7777494759531784,1.8408449624085925,1.798553241926636,0.012125662810129802,1,0
64,1.945013352855476,1.7797487487186945,1.7795407616292562,1.7800924426320968,1.8451312560207531,1.8015881534273686,0.012122307014023408,1,0
65,1.943255466347893,1.7793335832243036,1.7771473980990078,1.7782741113342304,1.8438611293374494,1.7997608795902291,0.01135000576886439,1,0
66,1.9413300972015364,1.7792313988710184,1.7762206932982183,1.7776001380220106,1.8440175955986375,1.7992794756396222,0.01114228058510861,1,0
67,1.9388098472000728,1.7769439290144557,1.7708497601972286,1.7729851155005114,1.8401107448552563,1.7946485401843322,0.00986522473534453,1,0
68,1.9398290435971128,1.7755685671245418,1.7669618946214876,1.7694364928807154,1.8375229520671506,1.7913071131897844,0.0087860679775993,1,0
69,1.9405309310001033,1.7715593853998095,1.758926971445432,1.7622491826050668,1.8309113914351787,1.7840291818285594,0.006989681870544771,1,0
70,1.9410833554785643,1.7711281450202874,1.7559713668582049,1.7603929375567957,1.8287339901094803,1.7816994315081605,0.005933260291229245,1,0
71,1.9416811606981832,1.7730899523619787,1.7575960273304092,1.7622234622188864,1.8305369978146968,1.7834521624546642,0.005810197946898317,1,0
72,1.945083219054948,1.77421070110477,1.7573509718592395,1.7626027864329707,1.8310350436371041,1.7836629339764383,0.005299338059683562,1,0
73,1.947870015033558,1.7744732333460607,1.75737262126143,1.7625208452643477,1.8318419303015723,1.78391179894245,0.005290937366962183,1,0
74,1.9488569952426047,1.7741010167285598,1.7554903398131836,1.7608625606120587,1.8314894547257359,1.7826141183836592,0.004775627864329092,1,0
75,1.9509543428688516,1.7753300821335356,1.7560981923168912,1.7610282629321947,1.832809973785653,1.7833121430115797,0.004475975173120472,1,0
76,1.9484489409640036,1.7752006848139803,1.7550277142457744,1.7602645623990478,1.8321781128311039,1.7824901298253089,0.0040894728612286615,1,0
